,symbol,start_date,end_date
325,V1101,2010-08-05,2010-11-11
326,V1105,2010-11-12,2011-04-18
327,V1109,2011-04-19,2011-07-25
328,V1201,2011-07-26,2011-11-11
329,V1205,2011-11-14,2012-03-28
330,V1209,2012-03-29,2012-07-13
331,V1301,2012-07-16,2012-11-12
332,V1305,2012-11-13,2013-03-21
333,V1309,2013-03-22,2013-07-18
334,V1401,2013-07-19,2013-12-05
335,V1405,2013-12-06,2014-03-28
336,V1409,2014-03-31,2014-08-05
337,V1501,2014-08-06,2014-11-03
338,V1505,2014-11-04,2015-03-27
339,V1509,2015-03-30,2015-08-12
340,V1601,2015-08-13,2015-10-19
341,V1605,2015-10-20,2016-03-25
342,V1609,2016-03-28,2016-08-18
343,V1701,2016-08-19,2016-12-02
344,V1705,2016-12-05,2017-04-07
345,V1709,2017-04-10,2017-08-09
346,V1801,2017-08-10,2017-11-29
347,V1805,2017-11-30,2018-04-09
348,V1809,2018-04-10,2018-08-08
349,V1901,2018-08-09,2018-12-03
350,V1905,2018-12-04,2019-03-25
351,V1909,2019-03-26,
352,FU0503,2005-01-04,2005-02-28
353,FU0505,2005-03-01,2005-03-16
354,FU0506,2005-03-17,2005-04-14
355,FU0507,2005-04-15,2005-05-24
356,FU0508,2005-05-25,2005-06-16
357,FU0509,2005-06-17,2005-07-11
358,FU0510,2005-07-12,2005-08-04
359,FU0511,2005-08-05,2005-09-08
360,FU0512,2005-09-09,2005-10-19
361,FU0602,2005-10-20,2005-12-01
362,FU0603,2005-12-02,2006-01-06
363,FU0604,2006-01-09,2006-02-09
364,FU0605,2006-02-10,2006-03-07
365,FU0606,2006-03-08,2006-04-05
366,FU0607,2006-04-06,2006-05-10
367,FU0608,2006-05-11,2006-06-08
368,FU0609,2006-06-09,2006-07-18
369,FU0610,2006-07-19,2006-08-17
370,FU0611,2006-08-18,2006-09-15
371,FU0612,2006-09-18,2006-10-24
372,FU0701,2006-10-25,2006-11-20
373,FU0703,2006-11-21,2007-01-18
374,FU0704,2007-01-19,2007-01-29
375,FU0705,2007-01-30,2007-03-15
376,FU0706,2007-03-16,2007-04-03
377,FU0707,2007-04-04,2007-05-11
378,FU0708,2007-05-14,2007-06-08
379,FU0709,2007-06-11,2007-07-10
380,FU0710,2007-07-11,2007-08-10
381,FU0711,2007-08-13,2007-09-06
382,FU0712,2007-09-07,2007-10-10
383,FU0801,2007-10-11,2007-11-12
384,FU0803,2007-11-13,2008-01-07
385,FU0805,2008-01-08,2008-03-18
386,FU0806,2008-03-19,2008-04-23
387,FU0807,2008-04-24,2008-05-22
388,FU0808,2008-05-23,2008-06-17
389,FU0809,2008-06-18,2008-07-15
390,FU0810,2008-07-16,2008-08-18
391,FU0811,2008-08-19,2008-09-18
392,FU0812,2008-09-19,2008-10-27
393,FU0902,2008-10-28,2008-12-12
394,FU0903,2008-12-15,2009-01-15
395,FU0905,2009-01-16,2009-03-09
396,FU0906,2009-03-10,2009-04-09
397,FU0907,2009-04-10,2009-05-11
398,FU0908,2009-05-12,2009-06-08
399,FU0909,2009-06-09,2009-07-09
400,FU0910,2009-07-10,2009-08-04
401,FU0911,2009-08-05,2009-09-09
402,FU0912,2009-09-10,2009-10-15
403,FU1001,2009-10-16,2009-11-17
404,FU1003,2009-11-18,2009-12-30
405,FU1005,2009-12-31,2010-03-18
406,FU1006,2010-03-19,2010-04-30
407,FU1007,2010-05-04,2010-05-19
408,FU1009,2010-05-20,2010-07-30
409,FU1010,2010-08-02,2010-08-20
410,FU1011,2010-08-23,2010-09-20
411,FU1012,2010-09-21,2010-10-12
412,FU1101,2010-10-13,2010-11-09
